9.25,9.25,9.25,9.13,9.13,9.38,9.50,9.13,9.13,9.13,9.13,9.13,9.25,9.38,9.75,10.63,12.63,14.63,18.50,18.63,17.50,18.75,18.75,18.88,18.50,19.13,19.25,19.38,18.63,19.25,18.63,18.88,18.38,18.38,17.25,16.13,16.00,14.25,12.50,11.00,10.50,10.25,10.00,10.00,9.75,10.25,10.50,10.25
10.50,10.25,10.00,9.63,9.88,10.88,10.63,10.63,10.25,10.00,9.88,10.25,10.50,10.38,11.13,12.13,13.25,14.88,16.88,18.75,18.38,18.25,18.00,17.63,18.00,18.25,19.13,19.00,19.50,19.88,20.00,20.13,19.25,18.13,19.00,16.75,15.75,15.38,13.38,12.13,11.75,11.38,11.00,11.13,11.50,11.50,11.25,11.38
11.38,10.75,10.88,11.00,11.63,11.13,11.00,10.63,10.75,10.25,10.50,10.13,10.25,9.88,11.13,11.38,14.00,15.00,18.13,18.25,18.00,16.88,18.25,18.38,17.63,18.50,19.75,19.00,19.00,19.13,19.38,18.38,18.63,18.13,17.75,15.38,14.13,12.50,12.00,11.38,11.38,10.75,11.38,10.63,11.38,11.13,11.00,10.38
10.88,11.25,11.25,10.50,9.75,9.75,10.38,10.38,10.13,9.63,9.63,9.63,10.38,10.38,10.25,12.13,13.13,14.63,17.63,19.25,19.25,19.38,19.63,19.63,19.50,20.63,20.63,21.13,19.75,20.00,19.88,20.25,20.25,19.38,17.75,15.63,13.88,13.38,11.75,11.50,11.50,11.25,11.63,11.00,11.13,11.38,10.75,11.00
11.00,10.50,10.50,11.13,10.63,10.50,10.63,10.75,11.00,10.50,10.50,10.50,10.38,9.63,10.63,11.25,13.63,15.38,17.25,17.50,18.63,18.13,19.00,18.63,18.38,18.25,19.00,18.25,19.25,18.75,19.63,18.50,18.38,18.25,16.88,14.75,12.63,12.13,12.00,11.50,10.75,10.25,10.50,9.75,10.00,9.88,10.63,9.88
9.75,10.50,10.25,9.75,9.63,10.13,10.13,10.25,10.00,9.63,10.38,10.38,10.50,10.25,10.00,9.88,9.38,9.63,10.25,10.13,9.63,9.63,9.75,10.75,9.88,10.00,10.88,10.13,10.75,9.88,10.25,9.75,9.63,10.25,9.88,9.88,10.13,10.00,9.75,9.50,10.13,10.00,9.75,9.63,10.13,9.88,9.50,10.13
10.38,10.13,9.50,10.25,10.13,10.38,10.25,9.50,9.50,10.75,10.25,10.00,10.13,9.88,10.00,9.63,10.13,9.63,9.75,9.88,9.88,10.50,10.38,9.50,9.88,10.75,10.25,9.88,10.13,10.25,9.88,9.63,10.25,10.25,10.00,9.88,10.50,9.75,10.25,10.25,10.38,10.00,10.50,10.38,10.50,9.88,9.88,10.50
10.63,10.50,10.00,10.63,10.38,10.38,9.88,10.50,10.38,10.13,10.38,10.00,10.13,10.50,11.25,11.00,13.50,16.50,19.25,18.50,18.25,18.88,19.38,19.38,18.38,18.63,19.50,19.00,18.88,18.88,19.50,19.00,18.63,18.25,17.25,15.00,14.00,12.75,11.00,10.50,10.50,11.13,10.38,11.25,11.00,10.75,11.00,10.38
10.75,10.75,10.63,10.63,10.75,11.00,9.88,10.25,10.63,10.50,10.75,10.25,10.25,10.88,11.63,11.75,12.75,15.00,17.50,18.63,18.75,18.38,18.38,18.13,18.75,18.38,19.63,18.75,19.75,19.63,19.50,19.00,20.13,18.00,17.50,16.00,14.25,13.50,12.25,12.00,11.63,10.75,10.38,10.50,10.00,10.13,10.13,10.00
10.00,10.13,10.13,10.75,10.50,10.75,10.75,10.25,10.63,10.75,10.50,9.88,10.88,10.25,11.38,11.75,12.00,15.38,18.00,18.75,20.63,20.13,19.63,19.25,19.63,19.63,19.88,20.25,21.63,21.88,21.63,21.75,21.50,20.13,17.75,15.38,13.75,13.38,11.75,11.63,10.75,11.00,10.75,10.75,10.38,10.63,10.88,10.50
10.38,10.25,9.88,10.13,9.88,10.13,10.25,10.25,10.38,10.25,9.88,9.88,10.00,9.88,10.88,12.88,13.88,16.13,18.38,18.63,18.88,19.88,19.38,19.88,20.25,19.88,20.25,20.25,20.00,19.38,19.75,20.25,18.50,19.00,17.63,16.25,15.00,13.63,12.88,12.25,11.75,11.13,11.13,11.13,10.88,11.00,10.63,11.00
10.38,10.50,10.50,10.75,11.00,10.38,10.50,10.13,10.38,10.38,10.25,10.63,10.75,10.88,10.25,10.88,12.75,15.25,17.00,17.88,18.25,18.75,18.13,18.75,19.38,19.13,19.25,19.75,19.50,19.75,19.75,19.75,19.25,18.38,16.13,14.25,13.38,12.63,11.63,10.88,11.13,10.75,10.63,10.13,10.63,10.25,9.13,10.00
10.13,10.38,9.88,9.38,9.50,10.13,10.50,10.13,10.13,10.25,10.13,10.38,10.00,10.25,10.00,10.13,9.50,9.63,9.75,10.00,10.00,11.00,11.00,10.75,10.88,10.88,11.00,11.38,11.00,10.50,10.50,10.25,11.50,10.63,10.50,11.13,10.88,11.13,11.50,11.13,10.75,11.63,10.38,9.75,10.63,10.50,9.75,10.13
10.13,10.00,9.88,10.38,10.00,10.25,9.63,10.13,10.13,9.88,10.25,9.88,10.50,10.38,10.25,10.25,10.38,9.75,9.50,9.63,9.75,10.38,9.63,10.75,10.50,10.13,9.75,10.00,10.25,10.25,9.63,10.25,9.88,9.75,10.75,10.50,9.75,10.38,10.00,10.38,10.00,10.13,10.75,10.50,9.63,10.13,9.88,9.88
10.63,10.38,10.13,9.75,10.63,10.25,10.25,10.75,10.00,10.63,10.25,10.38,10.38,10.13,11.13,11.75,11.63,12.25,12.88,13.38,15.25,14.63,14.50,14.50,15.00,14.88,15.50,15.50,15.38,15.50,15.75,15.75,15.25,15.13,14.38,14.25,12.75,12.50,11.38,11.25,10.88,10.38,10.00,10.13,10.50,10.13,10.00,10.00
10.13,10.13,10.00,10.25,10.38,10.13,10.00,10.00,10.00,9.88,10.13,10.00,10.25,10.25,10.88,11.63,13.63,15.75,18.50,19.38,18.88,17.63,17.38,17.50,18.38,18.13,17.88,17.88,18.13,17.63,17.88,17.75,18.25,17.50,16.63,15.25,14.50,11.88,10.75,10.63,10.63,9.63,9.75,10.25,10.00,10.25,10.25,9.38
9.38,9.75,10.38,10.38,10.13,9.88,10.38,10.38,10.13,10.00,10.50,9.88,9.88,10.00,10.50,12.38,14.00,15.63,17.38,18.13,18.25,17.75,18.75,19.50,20.25,21.13,21.88,21.63,21.63,21.88,22.00,22.13,21.25,20.88,19.50,17.50,16.25,15.38,14.63,13.63,13.38,12.88,12.63,12.25,12.25,12.13,11.75,11.38
11.63,11.38,11.38,11.13,11.13,11.00,11.38,10.75,11.00,11.00,10.75,11.00,11.00,11.13,11.13,12.13,15.13,17.50,19.88,18.75,19.00,19.63,19.13,20.00,19.50,19.50,21.25,20.50,19.75,20.25,20.88,21.00,19.88,19.38,18.50,18.50,18.13,14.75,13.88,13.38,13.88,13.38,11.88,11.50,11.88,11.75,11.38,11.63
11.63,11.38,11.50,11.25,11.38,11.50,11.38,11.50,11.13,11.50,11.38,11.38,11.25,10.88,11.13,13.13,14.75,16.63,19.00,20.13,20.00,19.88,19.63,19.25,18.50,19.25,19.38,19.88,19.88,19.38,20.13,19.00,18.38,17.88,17.38,15.38,14.75,13.75,12.13,11.25,10.88,11.00,10.88,10.88,10.75,11.13,10.63,10.63
10.75,10.88,10.63,10.63,10.63,10.75,10.88,10.75,10.88,10.88,10.38,10.63,10.63,10.38,10.13,10.25,10.25,10.25,10.50,10.50,10.88,10.63,10.13,10.50,10.50,10.38,10.38,10.75,10.50,11.00,10.38,10.38,10.13,10.25,10.13,10.13,10.50,10.50,10.63,10.63,10.38,10.88,11.00,10.75,10.88,10.63,10.75,10.88
10.88,10.75,10.63,10.75,10.88,10.63,10.88,10.75,11.00,10.50,10.75,10.63,10.63,10.13,10.00,10.13,10.25,10.13,10.00,10.25,10.25,10.50,10.13,10.38,9.75,10.25,10.63,10.75,10.13,10.38,10.25,10.38,10.38,10.38,9.88,10.38,10.63,10.63,10.50,10.63,10.50,10.38,10.63,10.75,10.25,10.88,10.25,10.63
10.50,10.50,10.63,10.50,10.50,10.75,10.50,10.25,10.75,10.50,10.25,10.25,10.00,10.13,10.63,11.63,13.38,15.75,18.88,19.13,19.75,19.88,19.50,19.00,19.75,20.00,19.75,20.38,19.50,20.25,20.25,20.13,19.63,19.75,19.00,17.00,15.13,13.75,13.13,12.13,12.50,12.00,11.63,12.13,12.38,12.00,11.88,11.63
11.56,12.13,11.69,11.63,10.94,11.19,11.13,11.13,10.94,11.38,10.88,11.00,11.00,10.75,11.31,12.81,14.75,16.31,19.81,20.88,19.56,19.88,19.50,19.63,19.56,19.81,19.94,19.44,19.31,19.63,20.00,19.81,19.88,20.00,18.63,16.50,15.31,13.63,13.06,12.50,12.50,12.44,12.50,12.00,12.19,12.06,11.44,11.00
11.63,11.38,11.38,11.38,11.25,11.13,11.50,11.50,11.25,11.25,11.13,11.00,11.25,11.00,11.50,12.38,14.63,16.00,18.13,19.88,19.00,19.25,18.25,19.25,19.63,18.88,19.88,19.50,19.38,18.88,19.13,18.50,18.25,18.50,17.13,15.50,13.50,12.63,11.50,11.88,11.63,11.75,11.63,11.38,11.50,11.25,11.63,11.25
